#,Hierarchy Tier,Brand Name,State / Origin (HQ),Creator Handle,Followers,Views / Plays (Est.),Likes,Comments,Like-to-View %,Creator ER%,Post Date,Direct Instagram URL,Boost Status & Classification,Caption Preview
11,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@vicks.picks_,574112,759887,41075,188,5.41%,7.19%,2025-11-02,https://www.instagram.com/p/DQjcsLekr9Z/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (41,075 likes) indicates paid media support",Oru naal maid leave potadhuku ipdi vela vaanguringa😭😪 #ad
12,Tier 1: Toggle ON + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@me_jackline,1180758,621045,33570,74,5.41%,2.85%,2025-09-20,https://www.instagram.com/p/DO01WvJCerc/,"🔍 Likely Boosted (Targeted Ad): Scale engagement (33,570 likes) indicates paid media support",#AD
13,Tier 2: Toggle ON + Organic,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@lakshmipriyaoffl,515373,401616,21709,447,5.41%,4.30%,2025-07-08,https://www.instagram.com/p/DL2RuanRWzH/,⚪ Standard Organic: Baseline organic collab reach,#Ad
14,Tier 2: Toggle ON + Organic,Bajaj Electronics,Telangana & Andhra Pradesh (HQ: Hyderabad),@chandnibhagwanani,554114,230732,12472,192,5.41%,2.29%,2025-09-24,https://www.instagram.com/p/DO_BQ_OAXPn/,⚪ Standard Organic: Baseline organic collab reach,#AD Bajaj Electronics- India’s Leading Retailer in Electronics is back with its Famous India’s Biggest Festive Offer of ₹1 Crore Cash Prize and 30 Alt
15,Tier 2: Toggle ON + Organic,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@sathya_devarajan_official,405987,166574,9004,168,5.41%,2.26%,2025-03-27,https://www.instagram.com/p/DHtLa5eyMfk/,⚪ Standard Organic: Baseline organic collab reach,#AD Excited to launch the OPPO F29 Series at @sathya.retail !  Now available at Sathya!
16,Tier 2: Toggle ON + Organic,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@glimpse_of_jamshedpur,224602,144281,7799,26,5.41%,3.48%,2026-04-21,https://www.instagram.com/p/DXZf184EzFY/,⚪ Standard Organic: Baseline organic collab reach,#jamshedpur #jharkhand #adityavision
17,Tier 2: Toggle ON + Organic,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@ananthi_rj,261720,136104,7357,40,5.41%,2.83%,2025-03-27,https://www.instagram.com/p/DHtMGCqBVWZ/,⚪ Standard Organic: Baseline organic collab reach,#Ad
18,Tier 2: Toggle ON + Organic,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@mithilavlogs,263478,16021,866,10,5.41%,0.33%,2026-08-10,https://www.instagram.com/p/Db2bXJKRCv2/,⚪ Standard Organic: Baseline organic collab reach,ADITYA VISION INDEPENDENCE DAY SALE 🔥 || #adityavision #independenceday #darbhanga #madhubani #adityavisionstore
19,Tier 2: Toggle ON + Organic,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@mithilavlogs,263478,16021,866,10,5.41%,0.33%,2025-12-21,https://www.instagram.com/p/DSg3bKsES3-/,⚪ Standard Organic: Baseline organic collab reach,GHAR UPGRADE KARNE KA TYM AA CHUKA HAI @aditya_vision KE SAATH AP KO MILTA HAI BUDGET BHI TECH BHI SATTLE BHI SAB EK SAATH 🔥 #adityavision #gyser #win
20,Tier 2: Toggle ON + Organic,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@mithilavlogs,263478,16021,866,10,5.41%,0.33%,2025-08-13,https://www.instagram.com/p/DNSjR20xw6C/,⚪ Standard Organic: Baseline organic collab reach,ADITYA VISION BUMPER SALE 8 August To 17 August 😱 #adityavision #popular #sale #trendingaudio #trendingreels #trendingnow #viral #explorepage #newsale
21,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@thedeverakonda,23169630,69540815,3758963,7080,5.41%,16.25%,2026-04-22,https://www.instagram.com/p/DXbvlGgASbr/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (3,758,963 likes, ~69,540,815 views) across top creator tier","New home, new beginnings... and @vijaysalesofficial had to be my first stop. But some unexpected guests showed up with other plans. Let’s just say, I "
22,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@thedeverakonda,23169630,69540815,3758963,7080,5.41%,16.25%,2025-03-28,https://www.instagram.com/p/DHva6BJzHYb/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (3,758,963 likes, ~69,540,815 views) across top creator tier","A blockbuster name. A blockbuster moment. But even I didn’t see this coming! Turns out, Vijay Sales is the new star in town, stealing all the attentio"
23,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@vaishali_and_anand,2426590,25924568,1401328,4243,5.41%,57.92%,2026-03-14,https://www.instagram.com/p/DV3v0oYjCaj/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (1,401,328 likes, ~25,924,568 views) across top creator tier","Toh chalo Croma❤️, kem ke Croma Summer Sale have live chhe🥰"
24,Tier 3: Toggle OFF + Boosted,Pai International,Karnataka & Telangana (HQ: Bengaluru),@shreyanka_patil31,5295578,18855274,1019204,4836,5.41%,19.34%,2025-09-29,https://www.instagram.com/p/DPLG1SgkRbb/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (1,019,204 likes, ~18,855,274 views) across top creator tier",The Wait is Over!
25,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@abhijeetkain,3182275,18021978,974161,6053,5.41%,30.80%,2026-08-10,https://www.instagram.com/p/Db2aen8sWC5/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (974,161 likes, ~18,021,978 views) across top creator tier",No gadgets were harmed. Just… upgraded. 👀😂
26,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@cookininshort,2089003,17022849,920154,7184,5.41%,44.39%,2025-10-14,https://www.instagram.com/p/DPyoWfeD3a6/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (920,154 likes, ~17,022,849 views) across top creator tier",Motichur Laddu or Motichur Laddoo
27,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@cookininshort,2089003,17022849,920154,7184,5.41%,44.39%,2025-08-30,https://www.instagram.com/p/DN-tV-qjwCU/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (920,154 likes, ~17,022,849 views) across top creator tier",Aluwadi or Patra or Patyur
28,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@samfootprint,1198535,16895125,913250,1688,5.41%,76.34%,2026-02-20,https://www.instagram.com/p/DU--p7mk64G/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (913,250 likes, ~16,895,125 views) across top creator tier",Amma ku cookies pana theriuma 😅 microwave & mobile shopping @sathya.retail
29,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@samfootprint,1198535,16895125,913250,1688,5.41%,76.34%,2025-12-02,https://www.instagram.com/p/DRww1hmEwhi/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (913,250 likes, ~16,895,125 views) across top creator tier",Hanvika kaaga TV vanga porom 📺👼🏻🙌
30,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@deepestgarg,1201262,15785088,853248,5108,5.41%,71.45%,2025-05-07,https://www.instagram.com/p/DJW3M6XsxbS/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (853,248 likes, ~15,785,088 views) across top creator tier","Chalo mere phones Samsung Galaxy A36 aur A56 ka jugaad toh karadiya @vijaysalesofficial ne, baaki aap apna dekhlo!"
31,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@just_neel_things,2954002,14372354,776884,3491,5.41%,26.42%,2026-01-19,https://www.instagram.com/p/DTrutzaDBVu/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (776,884 likes, ~14,372,354 views) across top creator tier",Mein apne biwi ke khilaaf nahi jaa sakta!😣
32,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@beyounick,2151478,13839646,748089,7399,5.41%,35.11%,2025-10-04,https://www.instagram.com/p/DPY_s4wCD9z/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (748,089 likes, ~13,839,646 views) across top creator tier",Lagta hai Papa ke liye bhi Samsung Galaxy Z Fold7 phone with Gemini AI ki jarorat hai 😂
33,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@beyounick,2151478,13839646,748089,7399,5.41%,35.11%,2026-01-17,https://www.instagram.com/p/DTnnZCEiPcb/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (748,089 likes, ~13,839,646 views) across top creator tier",I was prepared for anything
34,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@strglitz_official,1119062,11316820,611720,3655,5.41%,54.99%,2026-01-03,https://www.instagram.com/p/DTDPahkD-H5/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (611,720 likes, ~11,316,820 views) across top creator tier",@sathya.retail The next-level smartphone experience begins
35,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@strglitz_official,1119062,11316820,611720,3655,5.41%,54.99%,2025-12-03,https://www.instagram.com/p/DRzZk4xj5J2/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (611,720 likes, ~11,316,820 views) across top creator tier","@sathya.retail Experience the all-new Vivo X300 & X300 Pro with 23mm and 50mm ZEISS lenses, including a 200MP ZEISS main camera. Powered by the Pro Im"
36,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@astuti_mw,2865837,11301909,610914,5423,5.41%,21.51%,2026-02-15,https://www.instagram.com/p/DUxt53xE_jW/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (610,914 likes, ~11,301,909 views) across top creator tier",Didi ka bas chale toh poore khandaan ki love marriage kara de🤣
37,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@astuti_mw,2865837,11301909,610914,5423,5.41%,21.51%,2026-01-15,https://www.instagram.com/p/DTh8m3oE35d/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (610,914 likes, ~11,301,909 views) across top creator tier",Lagta hai didi ki bidai krna miss ho gya 😅
38,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@ranjith_anitha_07,286315,10436090,564113,4734,5.41%,198.68%,2025-11-03,https://www.instagram.com/p/DQmAfkvE4LQ/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (564,113 likes, ~10,436,090 views) across top creator tier",Don’t miss the biggest shopping day of the month!
39,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@officialrohitsaluja,199306,10207005,551730,2241,5.41%,277.95%,2026-03-12,https://www.instagram.com/p/DVyWeufj_rq/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (551,730 likes, ~10,207,005 views) across top creator tier",Mummy ko makkhan lagana boht jaruri. 😌
40,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@letscurryit,185122,9980195,539470,1024,5.41%,291.97%,2026-07-26,https://www.instagram.com/p/DbQauAxzJW1/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (539,470 likes, ~9,980,195 views) across top creator tier",@sathya.retail  Full Moon Sale is here!
41,Tier 3: Toggle OFF + Boosted,Electronics Mart,Telangana & Andhra Pradesh (HQ: Hyderabad),@nishchay.verma,348182,9195684,497064,5994,5.41%,144.48%,2026-01-23,https://www.instagram.com/p/DT2x3DBiOkV/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (497,064 likes, ~9,195,684 views) across top creator tier",Bare minimum demands hai ye to!!😏
42,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kumaran_weds_divi,661776,9036214,488444,1290,5.41%,74.00%,2025-12-02,https://www.instagram.com/p/DRwgCH4k0OY/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (488,444 likes, ~9,036,214 views) across top creator tier",இது எல்லாம் நடிப்பா🤣🤣🤣🤣
43,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kumaran_weds_divi,661776,9036214,488444,1290,5.41%,74.00%,2025-10-04,https://www.instagram.com/p/DPY2UF2k5lv/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (488,444 likes, ~9,036,214 views) across top creator tier",சம்மந்தி வீட்ட UPDATE செய்யனும்😂😂😂
44,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@kumaran_weds_divi,661776,9036214,488444,1290,5.41%,74.00%,2025-07-08,https://www.instagram.com/p/DL2KJOaTxKk/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (488,444 likes, ~9,036,214 views) across top creator tier",இனி அர்னால்ட் மாஸ் தான்😂😂😂
45,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@vyom25,150688,8192558,442841,1211,5.41%,294.68%,2026-05-17,https://www.instagram.com/p/DYcNScbs2aJ/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (442,841 likes, ~8,192,558 views) across top creator tier",Mumbai ki garmi + Nani ke garma garam roasts = End Game! 😂
46,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@vyom25,150688,8192558,442841,1211,5.41%,294.68%,2025-09-23,https://www.instagram.com/p/DO71XYsjA0T/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (442,841 likes, ~8,192,558 views) across top creator tier",Navratri is the festival of dreams for us Gujjus! 💃
47,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@s.manikandan___,872096,7936370,428993,2139,5.41%,49.44%,2026-01-04,https://www.instagram.com/p/DTGBfABk709/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (428,993 likes, ~7,936,370 views) across top creator tier",Tag That Broken Phone Guy📱💀 Phone case la enn da verru molachirku😱
48,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@s.manikandan___,872096,7936370,428993,2139,5.41%,49.44%,2025-11-20,https://www.instagram.com/p/DRR8caqDJEe/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (428,993 likes, ~7,936,370 views) across top creator tier",Tag That Korattai Kumaru😴🥱
49,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@official_gonda_43_,186087,7508983,405891,1825,5.41%,219.10%,2025-10-16,https://www.instagram.com/p/DP3BHiDjxLC/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (405,891 likes, ~7,508,983 views) across top creator tier",Aa gaya hai Saal ka sabse bada Diwali Sale Dhamaka 😍!!
50,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@viraj_ghelani,1453687,7289481,394026,2532,5.41%,27.28%,2025-10-02,https://www.instagram.com/p/DPS-G2uiOLd/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (394,026 likes, ~7,289,481 views) across top creator tier",Kiska side lene ka samajh nai aata
51,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@official___faridi_up81,107476,7263433,392618,545,5.41%,365.82%,2026-08-10,https://www.instagram.com/p/Db2auYxxM99/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (392,618 likes, ~7,263,433 views) across top creator tier",🇮🇳🔥 अलीगढ़ वालों… आज़ादी का जश्न मनाइए बंपर बचत के साथ! 🔥🇮🇳
52,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@official___faridi_up81,107476,7263433,392618,545,5.41%,365.82%,2026-05-15,https://www.instagram.com/p/DYXVQ2-o6DZ/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (392,618 likes, ~7,263,433 views) across top creator tier",🎉 अलीगढ़ वालों के लिए खुशखबरी! 🎉
53,Tier 3: Toggle OFF + Boosted,Pai International,Karnataka & Telangana (HQ: Bengaluru),@shreyaanachappa,106720,7239253,391311,2643,5.41%,369.15%,2025-11-19,https://www.instagram.com/p/DRO3xAdDPyb/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (391,311 likes, ~7,239,253 views) across top creator tier","I went to the Pai International Mega Draw fully prepared to expose some scam-level giveaway nonsense… because hello, trust issues."
54,Tier 3: Toggle OFF + Boosted,Pai International,Karnataka & Telangana (HQ: Bengaluru),@shreyaanachappa,106720,7239253,391311,2643,5.41%,369.15%,2025-09-30,https://www.instagram.com/p/DPN93mDElAt/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (391,311 likes, ~7,239,253 views) across top creator tier",Math answer ❌
55,Tier 3: Toggle OFF + Boosted,Pai International,Karnataka & Telangana (HQ: Bengaluru),@shreyaanachappa,106720,7239253,391311,2643,5.41%,369.15%,2025-09-18,https://www.instagram.com/p/DOvIUwTkkms/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (391,311 likes, ~7,239,253 views) across top creator tier",Apple’s all-new lineup is here at Pai International! ✨
56,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@rjkisnaa,1974013,7123832,385072,3152,5.41%,19.67%,2026-03-13,https://www.instagram.com/p/DV05GeZEUXu/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (385,072 likes, ~7,123,832 views) across top creator tier",West Delhi ka putt… South Delhi ka flat…Aur mummy da roast. 😭
57,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@nitesh_shetty99,840148,6643960,359133,2696,5.41%,43.07%,2025-10-09,https://www.instagram.com/p/DPklOyjinnq/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (359,133 likes, ~6,643,960 views) across top creator tier","Main bajuwale dukaan mein gaya tha, wo bola Croma jaao, Waha 35% OFF milega"
58,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@farahkhankunder,4746135,6555715,354363,6628,5.41%,7.61%,2025-01-15,https://www.instagram.com/p/DE1wRpKsdpE/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (354,363 likes, ~6,555,715 views) across top creator tier","Gaming and e-sports are rapidly becoming sought-after careers in India. Meet Aditya, a passionate gamer from Belapur, Mumbai, who aims to make a big n"
59,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@farahkhankunder,4746135,6555715,354363,6628,5.41%,7.61%,2025-01-01,https://www.instagram.com/p/DERl9cRyNV4/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (354,363 likes, ~6,555,715 views) across top creator tier","Look who’s joined us on the Reliance Digital Happiness Project—Reuben Joy, an incredible Tamil rapper from Chennai!"
60,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@villagecookingboy_official,2552727,6431136,347629,1209,5.41%,13.67%,2025-09-24,https://www.instagram.com/p/DO_LZdiEQsq/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (347,629 likes, ~6,431,136 views) across top creator tier",Navratri Special : Stuffed Garlic Bread 😋
61,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@mishti.mehtaa,432351,6294495,340243,1602,5.41%,79.07%,2025-02-10,https://www.instagram.com/p/DF4kPsFSLin/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (340,243 likes, ~6,294,495 views) across top creator tier",When love meets Innovation 🖥️🤍
62,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@photographycliclucknow,827949,6262842,338532,552,5.41%,40.95%,2026-06-10,https://www.instagram.com/p/DZWs_CRANAo/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (338,532 likes, ~6,262,842 views) across top creator tier",💻 Your First Laptop Can Change Your Future! 🚀
63,Tier 3: Toggle OFF + Boosted,Aditya Vision,"Bihar, Jharkhand & UP (HQ: Patna)",@photographycliclucknow,827949,6262842,338532,552,5.41%,40.95%,2026-05-19,https://www.instagram.com/p/DYhifBYAZf3/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (338,532 likes, ~6,262,842 views) across top creator tier",मिलिए श्री manoj Kumar ji se jo Lucknow ke niwasi hai.
64,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@_yogaprakash_,384287,6260011,338379,1357,5.41%,88.41%,2026-07-27,https://www.instagram.com/p/DbTAMfSvkoi/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (338,379 likes, ~6,260,011 views) across top creator tier",❤️உன்னை எப்பவும் கஷ்டப்பட விட மாட்டேன் ❤️
65,Tier 3: Toggle OFF + Boosted,Vijay Sales,Maharashtra / Pan-India (HQ: Mumbai),@shivank_panwanda,166441,6109477,330242,891,5.41%,198.95%,2026-01-12,https://www.instagram.com/p/DTaSmG3E5V2/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (330,242 likes, ~6,109,477 views) across top creator tier",End tak sab theek chal raha tha! Lekin....
66,Tier 3: Toggle OFF + Boosted,Sathya,Tamil Nadu (HQ: Tuticorin / Chennai),@aadhaw_official,40821,6106757,330095,756,5.41%,810.50%,2026-07-27,https://www.instagram.com/p/DbTH4XQzLvM/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (330,095 likes, ~6,106,757 views) across top creator tier",@sathya.retail  Full Moon Sale is here!
67,Tier 3: Toggle OFF + Boosted,Croma,"Pan-India / Maharashtra (HQ: Mumbai, Tata Group)",@arjunpandeyhere,1533271,5925568,320301,2246,5.41%,21.04%,2025-07-30,https://www.instagram.com/p/DMvOy53yF9B/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (320,301 likes, ~5,925,568 views) across top creator tier",Jhalire Jhali! Ata Bappanchya yaychi wel Jhal ✨🙌🏻
68,Tier 3: Toggle OFF + Boosted,Reliance Digital,"Pan-India / Maharashtra (HQ: Mumbai, Reliance Retail)",@arjunpandeyhere,1533271,5925568,320301,2246,5.41%,21.04%,2025-08-09,https://www.instagram.com/p/DNIrnK0ynvU/,"🚀 Heavily Boosted (Major Brand Campaign): High engagement volume (320,301 likes, ~5,925,568 views) across top creator tier",Kaam ka load? Machine pe chod! ✌🏻
